closest_mrt_dist,cbd_dist,town,storey_range,floor_area_sqm,flat_model,resale_price,years_remaining
580.264981,7882.652929,QUEENSTOWN,10 TO 12,93,Model A,780000,93
548.8519932,8375.456426,QUEENSTOWN,04 TO 06,65,Improved,380000,52
595.6098726,4612.755593,QUEENSTOWN,07 TO 09,117,Improved,833000,92
384.4331563,4809.85794,QUEENSTOWN,16 TO 18,110,Improved,835000,81
586.7396545,18741.95604,SEMBAWANG,10 TO 12,125,Apartment,520000,83
107.3172458,18779.54722,SEMBAWANG,13 TO 15,113,Improved,490000,80
414.5857479,18014.59528,SEMBAWANG,10 TO 12,47,Model A,358000,95
749.4728345,18707.49039,SEMBAWANG,13 TO 15,68,Model A,312000,94
640.7101082,18650.74265,SEMBAWANG,07 TO 09,85,Model A2,441000,79
984.9645006,19530.20262,SEMBAWANG,16 TO 18,46,Model A,210000,95
614.0877713,18393.53077,SEMBAWANG,10 TO 12,113,Improved,710000,94
414.5857479,18014.59528,SEMBAWANG,01 TO 03,47,Model A,341000,95
1020.334986,19593.20408,SEMBAWANG,13 TO 15,92,Model A,448000,93
148.1509412,18824.04767,SEMBAWANG,01 TO 03,93,Model A,362888,83
880.5883303,19554.09682,SEMBAWANG,10 TO 12,110,Improved,362000,85
538.9695335,18155.96472,SEMBAWANG,01 TO 03,120,Improved,388000,81
246.4786964,18822.61095,SEMBAWANG,10 TO 12,130,Apartment,645000,79
345.5410252,18857.84735,SEMBAWANG,10 TO 12,130,Apartment,500000,83
550.9875466,18165.00897,SEMBAWANG,10 TO 12,100,Model A,320000,79
721.3290444,18988.81718,SEMBAWANG,10 TO 12,137,Premium Apartment,460000,81
419.569157,18197.52505,SEMBAWANG,10 TO 12,93,Model A,568000,95
929.7684278,18792.25274,SEMBAWANG,13 TO 15,47,Model A,310000,92
470.9191418,18850.83191,SEMBAWANG,16 TO 18,95,Premium Apartment,400000,83
1031.73748,19660.24968,SEMBAWANG,13 TO 15,91,Model A,308000,83
860.1789641,13671.53181,SENGKANG,04 TO 06,113,Premium Apartment,580000,78
1752.730614,12351.40256,SENGKANG,07 TO 09,38,Model A,315000,95
962.0808863,13344.76617,SENGKANG,04 TO 06,112,Premium Apartment,530000,94
1566.108405,13480.59321,SENGKANG,01 TO 03,67,Model A,292000,96
1115.334405,13518.22479,SENGKANG,01 TO 03,93,Model A,540000,95
173.5493672,12157.08741,SENGKANG,13 TO 15,90,Premium Apartment,525000,91
277.1360239,12258.12979,SENGKANG,07 TO 09,93,Premium Apartment,510000,90
687.2128216,13350.00539,SENGKANG,04 TO 06,91,Model A,341000,82
2285.213865,12233.36071,SENGKANG,22 TO 24,95,Model A,475000,90
840.8568871,13819.28682,SENGKANG,10 TO 12,110,Improved,560000,78
967.8122395,13472.94972,SENGKANG,01 TO 03,92,Premium Apartment,380000,95
558.3913873,13497.92458,SENGKANG,13 TO 15,113,Improved,688000,93
631.3011136,13617.095,SENGKANG,10 TO 12,110,Improved,450000,81
357.5227162,12800.73644,SENGKANG,04 TO 06,102,Model A,430000,81
2062.455959,12688.58037,SENGKANG,10 TO 12,93,Model A,526000,92
2500.915466,12393.74337,SENGKANG,13 TO 15,92,Model A,460000,95
536.2249653,13185.44149,SENGKANG,04 TO 06,92,Model A,475000,94
300.462868,13064.58041,SENGKANG,04 TO 06,122,Improved,470000,79
1031.395232,12339.54525,SENGKANG,04 TO 06,115,Improved,538888,76
1673.257671,12963.23804,SENGKANG,10 TO 12,93,Model A,450000,95
587.6711106,8109.246148,SERANGOON,16 TO 18,140,Apartment,1025000,76
746.0185824,8586.028052,SERANGOON,01 TO 03,93,New Generation,370000,64
1654.312569,10194.51809,SERANGOON,10 TO 12,101,Model A,390000,79
534.9048539,7999.066888,SERANGOON,01 TO 03,104,Model A,575000,64
232.6571449,7878.717861,SERANGOON,07 TO 09,121,Improved,768000,71
473.8254541,7844.292641,SERANGOON,04 TO 06,146,Maisonette,960000,64
401.3052829,7989.355498,SERANGOON,07 TO 09,69,Improved,398000,62
479.6062549,8112.364929,SERANGOON,04 TO 06,95,New Generation,485000,64
1662.621211,10143.5909,SERANGOON,04 TO 06,100,Model A,398000,79
584.8036827,8194.470571,SERANGOON,04 TO 06,84,Simplified,394000,64
2006.704262,10196.11016,SERANGOON,13 TO 15,110,Model A,530000,70
2197.614738,10347.14648,SERANGOON,10 TO 12,140,Apartment,703000,79
414.6560428,7641.718797,SERANGOON,04 TO 06,121,Improved,830000,67
692.5588049,8382.144061,SERANGOON,10 TO 12,91,New Generation,470000,65
1743.068736,10359.44648,SERANGOON,07 TO 09,124,Improved,530000,73
1644.441431,9666.409351,SERANGOON,04 TO 06,83,Simplified,360000,66
359.6968021,8207.445529,SERANGOON,07 TO 09,88,Simplified,518000,67
2262.487796,10410.92773,SERANGOON,07 TO 09,121,Improved,650000,74
1599.747578,9513.756906,SERANGOON,10 TO 12,150,Maisonette,670000,68
641.2494143,8219.50496,SERANGOON,07 TO 09,84,Simplified,413000,64
903.6420749,11462.75841,TAMPINES,16 TO 18,101,Model A,490000,77
281.7953692,13712.87409,TAMPINES,10 TO 12,94,DBSS,660000,89
1056.589276,12518.71076,TAMPINES,07 TO 09,104,Model A,466000,69
970.2319633,11382.76288,TAMPINES,13 TO 15,137,Apartment,690000,78
556.418237,11610.57133,TAMPINES,07 TO 09,69,Model A,382000,94
294.4970519,14207.51188,TAMPINES,04 TO 06,122,Improved,490000,66
615.6251954,13447.70835,TAMPINES,01 TO 03,121,Improved,500000,63
228.1799601,11805.65418,TAMPINES,07 TO 09,73,Model A,318000,63
347.2269052,13825.74608,TAMPINES,01 TO 03,122,Improved,505000,71
551.1406161,13540.75752,TAMPINES,01 TO 03,60,Improved,345000,59
435.5941693,14048.80155,TAMPINES,07 TO 09,143,Apartment,660000,72
741.6056414,12104.80874,TAMPINES,10 TO 12,122,Improved,527000,65
1520.261547,12783.3309,TAMPINES,13 TO 15,100,Model A,515000,74
378.5258596,12267.43035,TAMPINES,04 TO 06,104,Model A,475000,70
1520.261547,12783.3309,TAMPINES,01 TO 03,100,Model A,370000,77
1626.107025,12518.93039,TAMPINES,04 TO 06,102,Model A,405000,76
918.6735134,13143.74111,TAMPINES,10 TO 12,103,Model A,510000,63
615.1728286,14644.16069,TAMPINES,01 TO 03,100,Model A,450000,75
461.8016472,14431.70052,TAMPINES,10 TO 12,127,Improved,535000,76
476.8295126,12218.32569,TAMPINES,04 TO 06,104,Model A,480000,65
232.691917,5626.164708,TOA PAYOH,07 TO 09,124,Improved,1038000,76
260.6879111,5738.177931,TOA PAYOH,04 TO 06,110,Improved,660000,86
343.4449309,5722.082131,TOA PAYOH,04 TO 06,76,Model A,515000,89
201.6475984,6239.947191,TOA PAYOH,04 TO 06,40,Standard,270000,45
748.2402409,6244.331606,TOA PAYOH,01 TO 03,67,Improved,195000,49
469.4958852,5974.663866,TOA PAYOH,01 TO 03,140,Model A,749000,63
331.8921793,6474.648987,TOA PAYOH,13 TO 15,87,Improved,439000,55
174.7027067,5589.851518,TOA PAYOH,01 TO 03,124,Improved,1030000,78
355.8697076,5848.614427,TOA PAYOH,01 TO 03,67,Improved,338000,48
538.5143824,5751.612389,TOA PAYOH,10 TO 12,72,Standard,265000,49
1299.327919,6092.40264,TOA PAYOH,07 TO 09,76,Improved,328000,57
377.6335081,6429.931319,TOA PAYOH,01 TO 03,87,Improved,405000,51
1182.813465,5264.845562,TOA PAYOH,07 TO 09,66,Improved,250000,54
478.4884458,5844.98794,TOA PAYOH,10 TO 12,91,Model A,680000,84
933.8842739,5372.419918,TOA PAYOH,01 TO 03,104,Model A,461000,71
362.5825248,5798.507166,TOA PAYOH,01 TO 03,74,Model A,383888,62
443.988198,5796.087637,TOA PAYOH,19 TO 21,122,Improved,1020000,74
447.9115078,5882.311894,TOA PAYOH,25 TO 27,116,Improved,895000,82
459.9924817,5923.421268,TOA PAYOH,01 TO 03,110,DBSS,810000,91
206.6396894,6580.365384,TOA PAYOH,07 TO 09,65,Improved,300000,55
442.7295735,18572.80302,WOODLANDS,04 TO 06,118,Improved,418000,77
629.2166197,18918.63768,WOODLANDS,04 TO 06,100,Model A,350000,79
795.8277421,18299.86243,WOODLANDS,01 TO 03,110,Premium Apartment,385000,82
365.0568418,18667.35363,WOODLANDS,04 TO 06,122,Improved,420000,76
753.4747363,17988.46211,WOODLANDS,04 TO 06,99,Model A,304000,78
726.3771017,18853.49316,WOODLANDS,07 TO 09,113,Improved,645000,95
650.7222352,17794.57401,WOODLANDS,04 TO 06,142,Premium Apartment,655000,77
653.4815822,17728.77853,WOODLANDS,07 TO 09,100,Model A,455000,74
729.1679897,18309.23932,WOODLANDS,01 TO 03,92,Premium Apartment,398000,94
487.2395966,18370.31227,WOODLANDS,10 TO 12,119,Improved,433000,78
324.7951517,18137.46762,WOODLANDS,10 TO 12,120,Improved,530000,78
787.1337095,18032.34005,WOODLANDS,07 TO 09,83,Simplified,425000,61
889.3624995,18387.004,WOODLANDS,01 TO 03,90,Premium Apartment,330000,85
726.9464772,18972.96248,WOODLANDS,01 TO 03,111,Model A,460000,73
919.9958193,18951.50009,WOODLANDS,01 TO 03,104,Model A,320000,76
514.262785,18832.19648,WOODLANDS,07 TO 09,189,Apartment,1030000,71
580.2240506,17746.33538,WOODLANDS,10 TO 12,104,Premium Apartment,488000,77
318.2575537,18088.04645,WOODLANDS,01 TO 03,147,Premium Apartment,705000,75
870.4388425,19237.36861,WOODLANDS,10 TO 12,76,Improved,268000,52
183.4527952,17437.86558,WOODLANDS,04 TO 06,120,Improved,410000,81
993.5709482,17133.66437,YISHUN,10 TO 12,104,Model A,352000,65
1512.300774,15058.86474,YISHUN,01 TO 03,112,Improved,560000,92
1014.553443,16106.09033,YISHUN,10 TO 12,105,Model A,448000,65
885.1449539,16496.68082,YISHUN,10 TO 12,112,Improved,610888,93
1516.328496,15805.78064,YISHUN,07 TO 09,104,Model A,340000,69
870.1545456,16631.13737,YISHUN,04 TO 06,67,New Generation,230000,56
869.6482626,15994.51094,YISHUN,01 TO 03,64,Simplified,230000,67
1035.677783,17086.07762,YISHUN,04 TO 06,64,Simplified,252000,68
692.0155987,16872.22898,YISHUN,01 TO 03,91,New Generation,305000,65
662.4191565,15724.834,YISHUN,04 TO 06,84,Simplified,365000,63
980.5486704,16846.37724,YISHUN,07 TO 09,112,Improved,415000,82
1049.876864,16477.34184,YISHUN,07 TO 09,112,Improved,523000,94
1800.23831,15340.20523,YISHUN,10 TO 12,92,Model A,380000,95
495.6689844,15306.54729,YISHUN,10 TO 12,84,Simplified,308000,68
702.2403487,15091.67112,YISHUN,07 TO 09,84,Simplified,353000,65
541.1174504,15515.80042,YISHUN,07 TO 09,74,Model A,380000,66
712.7655375,16594.35837,YISHUN,01 TO 03,67,New Generation,257000,64
702.2403487,15091.67112,YISHUN,10 TO 12,84,Simplified,310000,69
714.7711675,16810.30467,YISHUN,07 TO 09,95,New Generation,313000,64
1605.125361,15192.78526,YISHUN,13 TO 15,92,Model A,381000,94
